DSO Name;MGA Name;MGA Code;MGA Type;MBA;Country
Näckåns Elnät AB;Sysslebäck;SBK;DISTRIBUTION;SE3;SE
Ellevio AB;Täby;TBY;DISTRIBUTION;SE3;SE
Tibro Energi AB;Tibro;TIB;DISTRIBUTION;SE3;SE
Tidaholms Elnät AB;Tidaholm;THM;DISTRIBUTION;SE3;SE
Mälarenergi Elnät AB;Tillberga;TLB;DISTRIBUTION;SE3;SE
Töre Energi ek för;Töre;TRE;DISTRIBUTION;SE1;SE
VänerEnergi AB;Töreboda;TBA;DISTRIBUTION;SE3;SE
Övertorneå Energi AB;Tornedalen;TDN;DISTRIBUTION;SE1;SE
Vattenfall Eldistribution AB;Tornedalen Nedre;TNN;DISTRIBUTION;SE1;SE
Vattenfall Eldistribution AB;Tornedalen Övre;TDO;DISTRIBUTION;SE1;SE
Gävle Energi Elnät AB;Torsåker;TOR;DISTRIBUTION;SE3;SE
Kraftringen Nät AB;Torsås;TOS;DISTRIBUTION;SE4;SE
Tranås Energi Elnät AB;Tranås;TNS;DISTRIBUTION;SE3;SE
Ellevio AB;Trängslet;TRS;DISTRIBUTION;SE3;SE
Ellevio AB;Treje;TRJ;REGIONAL;SE3;SE
Trelleborg Elnät AB;Trelleborg;TBG;DISTRIBUTION;SE4;SE
Trollhättan Energi Elnät AB;Trollhättan;TRH;DISTRIBUTION;SE3;SE
Vattenfall Eldistribution AB;Tumba;TUM;DISTRIBUTION;SE3;SE
Malung-Sälens Elnät AB;Tyngsjö-Finnmarken;TYS;DISTRIBUTION;SE3;SE
Vattenfall Eldistribution AB;Tyresö;TYR;DISTRIBUTION;SE3;SE
Svenska kraftnät;Tyskland väst;TYV;BORDER;SE4;SE
Uddevalla Energi Elnät AB;Uddevalla;UVA;DISTRIBUTION;SE3;SE
Ulricehamn Energi Elnät AB;Ulricehamn;UHN;DISTRIBUTION;SE3;SE
Umeå Energi Elnät AB;Umeå;UMA;DISTRIBUTION;SE2;SE
Vattenfall Eldistribution AB;Umeälven Nedre;UMD;DISTRIBUTION;SE2;SE
Vattenfall Eldistribution AB;Umeälven Övre;UMO;DISTRIBUTION;SE2;SE
Vattenfall Eldistribution AB;Umeälven region;UMN;REGIONAL;SE2;SE
Umeå Energi Elnät AB;Umeå region;UME;REGIONAL;SE2;SE
Vattenfall Eldistribution AB;Uppland Norra;UPN;DISTRIBUTION;SE3;SE
Vattenfall Eldistribution AB;Uppland Östra;UPO;DISTRIBUTION;SE3;SE
E.ON Energidistribution AB;Uppland Södra;UPS;DISTRIBUTION;SE3;SE
Vattenfall Eldistribution AB;Uppland Västra;UPV;DISTRIBUTION;SE3;SE
Malung-Sälens Elnät AB;Upprämmen;URM;DISTRIBUTION;SE3;SE
Vattenfall Eldistribution AB;Uppsala;UPP;DISTRIBUTION;SE3;SE
